,AC_POWER
69545,753.692857142857
69583,831.94
69582,846.9733333333331
69581,870.6666666666665
69580,853.1400000000001
69579,867.5333333333333
69578,840.52
69577,673.8933333333334
69576,868.0666666666667
69575,819.2400000000001
69573,858.4
69572,829.1266666666666
69571,835.7933333333333
69570,861.2466666666666
69569,781.6
69568,836.2933333333334
69567,791.66
69566,864.72
69574,844.5799999999998
69584,822.5266666666665
69586,840.7
791,701.2571429
69587,800.6333333333333
792,822.45
69585,856.74
788,722.6
793,498.4714286
787,821.1285714
786,802.55
785,772.2857143
784,777.9375
783,668.8571429
782,809.8
781,803.6285714
780,793.775
779,806.0428571
778,613.55
777,776.7625
776,722.3
775,787.6625
774,752.0375
773,805.325
772,559.2285714
790,710.0
789,683.7
69588,930.2142857142859
69605,885.2933333333333
69589,856.26
69590,903.4266666666668
69591,842.8600000000001
69592,934.86
69593,903.8866666666665
69594,896.2333333333332
69595,922.8357142857144
69597,884.6133333333332
69598,936.2785714285712
69599,727.3733333333333
69600,905.6933333333332
69601,937.5066666666664
69602,925.2
69603,937.1
69604,912.9533333333331
69606,890.78
69607,925.9866666666666
803,406.0571429
795,347.9857143
815,0.0
814,422.4714286
813,581.2625
812,556.675
811,688.1857143
810,567.8125
809,518.7625
808,588.5142857
807,536.5857143
794,394.0125
806,517.6
804,333.6428571
69608,911.5866666666666
802,466.3142857
801,488.8714286
800,293.2285714
799,362.4571429
798,581.825
797,352.8571429
796,311.3857143
805,376.325
69609,866.76
69596,916.92
817,424.1375
69612,970.7333333333331
69613,256.0285714285714
69614,1002.9428571428572
69615,974.8733333333331
69616,967.4933333333331
69617,996.9
69619,952.3857142857144
69620,1006.0266666666666
69621,165.60000000000002
69622,973.5428571428571
69623,1010.22
69624,988.9071428571427
69625,1011.4
69626,982.95
69627,956.7
69628,958.9866666666665
69629,999.64
69611,549.2466666666667
69610,1003.1333333333332
837,0.0
836,367.4625
818,374.6375
819,353.975
820,350.1428571
821,363.65
822,378.975
823,343.95
824,341.0142857
825,350.3125
69630,977.7571428571428
826,391.9375
828,365.4625
829,333.2714286
830,364.2142857
831,365.3571429
832,349.8714286
833,371.1142857
834,338.0714286
835,344.2571429
827,323.7
69631,864.4571428571428
69618,982.8428571428573
816,315.8857143
857,691.8
856,767.7375
855,636.6875
854,732.5
853,747.5375
852,704.3875
851,687.85
69632,1061.9333333333336
849,615.3428571
848,782.8
847,730.2285714
846,703.3428571
845,746.8714286
844,772.8
843,746.7714286
842,746.9625
841,729.1857143
840,763.2857143
839,751.2714286
838,632.3428571
69653,0.0
858,798.8142857
859,517.05
69633,0.0
69634,1024.6333333333332
69635,0.0
69636,1058.16
69637,1023.4142857142856
69638,1017.1428571428572
69639,1053.0333333333333
69640,1037.4000000000003
69641,1006.22
69642,1065.1533333333334
69643,0.0
69644,1029.8133333333333
850,787.5428571
69645,1065.513333333333
69646,1041.3733333333334
69647,1068.2599999999998
69648,1037.3133333333333
69649,941.307142857143
69650,1008.2142857142858
69651,1055.5333333333333
69652,1033.3133333333333
874,922.8
875,882.7714286
876,928.9285714
877,968.2428571
881,939.4571429
879,966.7428571
880,868.6571429
873,746.55
878,831.5285714
872,928.4
868,673.025
870,828.9428571
869,831.6875
69674,1077.4999999999998
867,864.175
866,648.275
865,659.9875
864,977.3142857
863,714.275
860,588.775
862,722.0
871,567.0625
861,837.2
69673,1092.0571428571427
69664,953.4666666666668
69670,1071.8466666666668
69669,1106.0733333333333
69668,1084.3266666666666
69667,1104.5571428571427
69666,1064.6466666666668
69665,0.0
69662,1081.3733333333332
69671,1051.6999999999998
69661,1090.5000000000002
69659,1059.7933333333333
69658,1102.8666666666668
69657,0.0
69656,1062.8285714285714
69655,0.0
69654,71.25333333333333
69675,0.0
69660,1053.3000000000002
69672,972.8133333333332
69663,1041.9066666666668
884,581.1
69677,0.0
69678,1120.7333333333336
69680,1161.72
69681,1120.7266666666665
69682,1114.4466666666665
69683,1152.4733333333334
69684,1139.006666666667
69685,1101.6933333333334
69676,0.0
69686,0.0
69688,1126.0
69689,1163.06
69690,1139.5533333333335
69691,1168.8066666666664
69692,1135.3333333333337
69693,1112.5733333333335
69694,0.0
69695,1150.0333333333333
69687,0.0
885,664.5
903,815.8375
901,602.65
883,660.1625
882,650.0285714
886,708.125
887,687.4571429
888,625.9142857
889,796.1142857
890,769.8428571
891,742.7571429
902,776.375
892,615.05
69696,1135.3533333333332
894,786.9375
895,878.55
896,600.675
897,690.925
898,874.1625
899,692.7375
900,707.6625
893,604.3857143
69697,0.0
69679,0.0
69698,0.0
906,521.6
907,479.8875
908,589.2571429
909,484.875
910,507.4
911,585.625
912,472.7571429
913,606.7875
914,515.5714286
69699,0.0
915,435.7875
917,493.74
918,741.6857143
919,753.6714286
920,643.7571429
921,630.7142857
922,566.4571429
923,600.5
924,688.1428571
925,634.6142857
916,715.6571429
904,431.875
905,548.2285714
69708,0.0
69701,0.0
69702,1201.5933333333332
69703,1158.7133333333334
69704,1153.5533333333335
69705,1191.1466666666668
69706,1176.5
69707,1139.76
69700,1157.26
69709,0.0
69711,1203.4999999999998
69712,1176.6
69713,1208.22
69714,1174.2066666666667
